Title,Last Sync (Check against Mincron),Branch Status,Address,Phone #,Fax,Toll Free #,Notes,Branch History,Branch Manager,Brand,District,Telco Provider,Division,Switch IP Addresses,Network Tier,Primary Circuit Account #,Primary Circuit ID,Primary Circuit Expiration Date,Primary Circuit ISP,Primary Circuit Gateway IP,Primary Circuit Usable Ips,Primary Circuit Routher IP,Primary Circuit Mask,Primary Circuit Speed Down,Primary Circuit Speed Up,Primary Circuit Type,Primary Circuit VPN,Secondary Circuit Account #,Secondary Circuit ID,Secondary Circuit Expiration Date,Secondary Circuit ISP,Secondary Circuit Gateway IP,Secondary Circuit Usable Ips,Secondary Circuit Router IP,Secondary Circuit Mask,Secondary Circuit Speed Down,Secondary Circuit Speed Up,Secondary Circuit Type,Seccondary Circuit VPN,Tertiary Circuit ISP,Tertiary Circuit Gateway IP,Tertiary Circuit Usable Ips,Tertiary Circuit Router IP,Tertiary Circuit Mask,Tertiary Circuit Speed Down,Tertiary Circuit Speed Up,Tertiary Circuit Account #,Tertiary Circuit ID,Tertiary Circuit Expiration Date,Tertiary Circuit Type,Tertiary Circuit VPN,Last Updated (In Mincron),Modified,Modified By,Branch Name,Cameras Type: ,Camera Vendor Info: 
1,8/1/2023,Open,"197 COMMERCIAL ST.; MALDEN, MA 02148-6708",(617) 666-2800,(617) 666-2801,(617) 666-2801,"<div class=""ExternalClassCCE6C6AF83AC43C68656802D6F87240E""><span style=""color&%2358;black;"">â€‹**New note test on 0714/2022<p><br></p></span>**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,01.01.01.010,,01.01.01.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,MALDEN BRANCH,,
2,8/1/2023,Open,"120 PRESCOTT STREET; WORCESTER, MA 01605",(508) 753-2943,,,"<div class=""ExternalClass194EF87CD8634386B3463F8BB17A7CEC"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/16/2018,8/2/2023 3:05,,WORCESTER BRANCH,,
3,8/1/2023,Open,"80 KITTYHAWK AVENUE; AUBURN, ME 04210",(207) 784-1525,,,"<div class=""ExternalClassFD99E313BBBC4C409758B00C9D65B0DC"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,AUBURN BRANCH,,
4,8/1/2023,Open,"393 MANLEY STREET; WEST BRIDGEWATER, MA 02379",(508) 580-8802,,,"<div class=""ExternalClass8B77C079514B4FA6B3506830192F4BB0"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/16/2019,8/2/2023 3:05,,WEST BRIDGEWATER BRANCH,,
5,8/1/2023,Open,"730 WELLINGTON AVENUE; CRANSTON, RI 02910",(401) 467-8870,,,"<div class=""ExternalClass2B859584591B4136BEEDCF64BEDA58C5"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,CRANSTON BRANCH,,
6,8/1/2023,Open,"251 LOCUST STREET; HARTFORD, CT 06114",(860) 296-855,,,"<div class=""ExternalClassCE0525BA248A46EB99E5F4582F7C0994"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/16/2018,8/2/2023 3:05,,HARTFORD BRANCH,,
7,8/1/2023,Open,"96 LOMBARD AVE.; WEST BARNSTABLE, MA 02668",(508) 362-7109,,,"<div class=""ExternalClassC06477CEEC9742AE85E584FB7B35B33E"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,WEST BARNSTABLE BRANCH,,
8,8/1/2023,Open,"10024 SOUTH WILLOW STREET; MANCHESTER, NH 03103",(603) 645-6898,,,"<div class=""ExternalClass73C18D46226A42BA8A84931C6B79F378"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,MANCHESTER BRANCH,,
9,8/1/2023,Closed,"1785 STRATFORD AVE.; STRATFORD, CT 06615",(203) 377-4460,,,"<div class=""ExternalClass569A44F9E9DB4D3BB546950BB7F17603"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/29/2020,8/2/2023 3:05,,*STRATFORD BRANCH,,
10,8/1/2023,Open,"25 NAUSET STREET; NEW BEDFORD, MA 02746",(508) 979-1055,,,"<div class=""ExternalClassF3A903D32D2548B491309BB9EFDF013C"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,NEW BEDFORD BRANCH,,
11,8/1/2023,Open,"1 LAKELAND PARK DRIVE; PEABODY, MA 01960-3835",(978) 535-7291,,,"<div class=""ExternalClass42FC590854544D82850469490A74C57B"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,PEABODY BRANCH,,
12,8/1/2023,Open,"5 FOUNDRY INDUSTRIAL PARK; LOWELL, MA 01852-5129",(978) 452-1392,,,"<div class=""ExternalClass553E693FE1D342B29F1542400244EC99"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,LOWELL BRANCH,,
13,8/1/2023,Open,"60 HAYNES CIRCLE; CHICOPEE, MA 01020",(413) 612-2060,,,"<div class=""ExternalClass496E760F32734A3E8125E89D6C42A48B"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/14/2019,8/2/2023 3:05,,CHICOPEE BRANCH,,
14,8/1/2023,Open,"391 BOYER CIRCLE; WILLISTON, VT 05495",(802) 497-3289,,,"<div class=""ExternalClass370039F4D0EB46DBBAF86EA360AF7407"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/6/2020,8/2/2023 3:05,,WILLISTON BRANCH,,
15,8/1/2023,Open,"14 LONGWATER DRIVE; ROCKLAND, MA 02370",(781) 421-6444,,,"<div class=""ExternalClass4797F446989E43D889FCBD10FC57CCCA"">**Created 05/12/2022 via information provided from Mincron.**</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2018,8/2/2023 3:05,,ROCKLAND BRANCH,,
